EXP split_seed random_seed neurons soft lambda_in PICP_test MPIW_test RMSE R2 qd_loss NLL alpha loss data h_size bstraps ensemb
205 3 20 75 200.0 5.0 0.968 0.493 2.696 0.971 0.475 2.159 0.05 qd_soft ~yacht [75] 1 1
206 3 20 75 200.0 15.0 0.839 0.549 4.667 0.912 1.537 2.712 0.05 qd_soft ~yacht [75] 1 1
207 3 20 75 200.0 25.0 0.903 0.92 5.017 0.898 1.237 4.12 0.05 qd_soft ~yacht [75] 1 1
208 3 20 100 100.0 5.0 0.903 0.368 1.816 0.987 0.442 2.011 0.05 qd_soft ~yacht [100] 1 1
209 3 20 100 100.0 15.0 1.0 0.713 1.477 0.991 0.713 1.997 0.05 qd_soft ~yacht [100] 1 1
210 3 20 100 100.0 25.0 1.0 1.187 3.461 0.952 1.187 2.669 0.05 qd_soft ~yacht [100] 1 1
211 3 20 100 160.0 5.0 0.839 0.241 1.757 0.988 0.568 1.356 0.05 qd_soft ~yacht [100] 1 1
212 3 20 100 160.0 15.0 0.871 0.488 3.883 0.939 0.961 2.21 0.05 qd_soft ~yacht [100] 1 1
213 3 20 100 160.0 25.0 0.871 0.71 4.396 0.922 1.57 2.498 0.05 qd_soft ~yacht [100] 1 1
214 3 20 100 200.0 5.0 0.903 0.404 3.569 0.948 0.415 2.021 0.05 qd_soft ~yacht [100] 1 1
215 3 20 100 200.0 15.0 0.935 0.795 3.391 0.953 0.777 2.269 0.05 qd_soft ~yacht [100] 1 1
216 3 20 100 200.0 25.0 0.839 0.861 5.518 0.877 2.625 2.828 0.05 qd_soft ~yacht [100] 1 1
217 3 30 50 100.0 5.0 0.968 0.313 2.002 0.984 0.295 1.375 0.05 qd_soft ~yacht [50] 1 1
218 3 30 50 100.0 15.0 1.0 0.485 2.164 0.981 0.485 1.689 0.05 qd_soft ~yacht [50] 1 1
219 3 30 50 100.0 25.0 0.935 0.736 4.199 0.929 0.713 2.428 0.05 qd_soft ~yacht [50] 1 1
