EXP split_seed random_seed neurons soft lambda_in PICP_test MPIW_test RMSE R2 qd_loss NLL alpha loss data h_size bstraps ensemb
163 3 10 50 100.0 5.0 0.904 2.224 5.229 0.267 2.957 3.765 0.05 qd_soft ~protein [50] 1 1
164 3 10 50 100.0 15.0 0.936 2.451 5.408 0.216 2.658 3.261 0.05 qd_soft ~protein [50] 1 1
165 3 10 50 100.0 25.0 0.944 2.534 5.488 0.192 2.598 3.249 0.05 qd_soft ~protein [50] 1 1
166 3 10 50 160.0 5.0 0.899 2.237 5.262 0.257 3.147 3.366 0.05 qd_soft ~protein [50] 1 1
167 3 10 50 160.0 15.0 0.937 2.455 5.421 0.212 2.648 4.637 0.05 qd_soft ~protein [50] 1 1
168 3 10 50 160.0 25.0 0.944 2.586 5.638 0.148 2.658 3.278 0.05 qd_soft ~protein [50] 1 1
169 3 10 50 200.0 5.0 0.905 2.296 5.351 0.232 2.99 3.441 0.05 qd_soft ~protein [50] 1 1
170 3 10 50 200.0 15.0 0.931 2.503 5.524 0.182 2.869 3.272 0.05 qd_soft ~protein [50] 1 1
171 3 10 50 200.0 25.0 0.946 2.589 5.612 0.155 2.623 3.446 0.05 qd_soft ~protein [50] 1 1
172 3 10 75 100.0 5.0 0.901 2.193 5.151 0.288 3.027 3.519 0.05 qd_soft ~protein [75] 1 1
173 3 10 75 100.0 15.0 0.937 2.423 5.332 0.238 2.588 3.292 0.05 qd_soft ~protein [75] 1 1
174 3 10 75 100.0 25.0 0.944 2.505 5.429 0.21 2.563 3.226 0.05 qd_soft ~protein [75] 1 1
175 3 10 75 160.0 5.0 0.9 2.241 5.242 0.263 3.105 3.608 0.05 qd_soft ~protein [75] 1 1
176 3 10 75 160.0 15.0 0.935 2.47 5.461 0.2 2.698 3.332 0.05 qd_soft ~protein [75] 1 1
177 3 10 75 160.0 25.0 0.941 2.565 5.549 0.174 2.733 3.422 0.05 qd_soft ~protein [75] 1 1
178 3 10 75 200.0 5.0 0.902 2.256 5.229 0.267 3.028 3.36 0.05 qd_soft ~protein [75] 1 1
179 3 10 75 200.0 15.0 0.938 2.479 5.392 0.22 2.627 3.219 0.05 qd_soft ~protein [75] 1 1
180 3 10 75 200.0 25.0 0.945 2.563 5.539 0.177 2.618 3.452 0.05 qd_soft ~protein [75] 1 1
181 3 10 100 100.0 5.0 0.9 2.197 5.185 0.279 3.061 3.574 0.05 qd_soft ~protein [100] 1 1
182 3 10 100 100.0 15.0 0.933 2.427 5.376 0.225 2.731 3.254 0.05 qd_soft ~protein [100] 1 1
183 3 10 100 100.0 25.0 0.944 2.51 5.464 0.199 2.578 3.258 0.05 qd_soft ~protein [100] 1 1
184 3 10 100 160.0 5.0 0.905 2.209 5.182 0.28 2.888 3.276 0.05 qd_soft ~protein [100] 1 1
185 3 10 100 160.0 15.0 0.933 2.484 5.565 0.17 2.797 3.297 0.05 qd_soft ~protein [100] 1 1
186 3 10 100 160.0 25.0 0.941 2.539 5.59 0.162 2.701 3.309 0.05 qd_soft ~protein [100] 1 1
187 3 10 100 200.0 5.0 0.903 2.238 5.269 0.256 2.988 3.332 0.05 qd_soft ~protein [100] 1 1
188 3 10 100 200.0 15.0 0.93 2.434 5.416 0.213 2.87 14.908 0.05 qd_soft ~protein [100] 1 1
189 3 10 100 200.0 25.0 0.946 2.579 5.529 0.18 2.615 3.538 0.05 qd_soft ~protein [100] 1 1
190 3 20 50 100.0 5.0 0.902 2.247 5.225 0.268 3.021 3.37 0.05 qd_soft ~protein [50] 1 1
191 3 20 50 100.0 15.0 0.931 2.426 5.365 0.228 2.793 3.267 0.05 qd_soft ~protein [50] 1 1
192 3 20 50 100.0 25.0 0.944 2.525 5.483 0.194 2.598 3.63 0.05 qd_soft ~protein [50] 1 1
193 3 20 50 160.0 5.0 0.906 2.267 5.295 0.248 2.925 52.182 0.05 qd_soft ~protein [50] 1 1
194 3 20 50 160.0 15.0 0.93 2.48 5.492 0.191 2.903 3.31 0.05 qd_soft ~protein [50] 1 1
195 3 20 50 160.0 25.0 0.944 2.59 5.547 0.175 2.648 3.258 0.05 qd_soft ~protein [50] 1 1
196 3 20 50 200.0 5.0 0.901 2.27 5.282 0.252 3.088 3.953 0.05 qd_soft ~protein [50] 1 1
197 3 20 50 200.0 15.0 0.934 2.504 5.569 0.168 2.786 13.704 0.05 qd_soft ~protein [50] 1 1
198 3 20 50 200.0 25.0 0.94 2.628 5.615 0.155 2.802 3.269 0.05 qd_soft ~protein [50] 1 1
199 3 20 75 100.0 5.0 0.906 2.254 5.27 0.255 2.925 3.695 0.05 qd_soft ~protein [75] 1 1
200 3 20 75 100.0 15.0 0.934 2.426 5.367 0.228 2.694 3.355 0.05 qd_soft ~protein [75] 1 1
201 3 20 75 100.0 25.0 0.944 2.535 5.588 0.163 2.601 4.275 0.05 qd_soft ~protein [75] 1 1
202 3 20 75 160.0 5.0 0.903 2.226 5.192 0.277 2.985 3.241 0.05 qd_soft ~protein [75] 1 1
203 3 20 75 160.0 15.0 0.932 2.518 5.582 0.165 2.882 3.327 0.05 qd_soft ~protein [75] 1 1
204 3 20 75 160.0 25.0 0.942 2.555 5.559 0.171 2.665 3.309 0.05 qd_soft ~protein [75] 1 1
205 3 20 75 200.0 5.0 0.899 2.255 5.282 0.252 3.164 3.385 0.05 qd_soft ~protein [75] 1 1
206 3 20 75 200.0 15.0 0.933 2.473 5.447 0.204 2.775 4.245 0.05 qd_soft ~protein [75] 1 1
207 3 20 75 200.0 25.0 0.943 2.621 5.613 0.155 2.717 3.262 0.05 qd_soft ~protein [75] 1 1
208 3 20 100 100.0 5.0 0.902 2.196 5.184 0.279 2.996 3.273 0.05 qd_soft ~protein [100] 1 1
209 3 20 100 100.0 15.0 0.935 2.402 5.303 0.246 2.624 3.215 0.05 qd_soft ~protein [100] 1 1
210 3 20 100 100.0 25.0 0.946 2.549 5.579 0.166 2.586 3.258 0.05 qd_soft ~protein [100] 1 1
211 3 20 100 160.0 5.0 0.898 2.201 5.202 0.274 3.111 4.239 0.05 qd_soft ~protein [100] 1 1
212 3 20 100 160.0 15.0 0.934 2.448 5.417 0.213 2.723 3.249 0.05 qd_soft ~protein [100] 1 1
213 3 20 100 160.0 25.0 0.942 2.506 5.396 0.219 2.631 3.283 0.05 qd_soft ~protein [100] 1 1
214 3 20 100 200.0 5.0 0.9 2.244 5.278 0.253 3.109 3.587 0.05 qd_soft ~protein [100] 1 1
215 3 20 100 200.0 15.0 0.937 2.502 5.541 0.177 2.675 3.663 0.05 qd_soft ~protein [100] 1 1
216 3 20 100 200.0 25.0 0.944 2.521 5.469 0.198 2.579 3.223 0.05 qd_soft ~protein [100] 1 1
217 3 30 50 100.0 5.0 0.903 2.237 5.214 0.271 2.999 4.064 0.05 qd_soft ~protein [50] 1 1
218 3 30 50 100.0 15.0 0.936 2.46 5.441 0.206 2.674 3.403 0.05 qd_soft ~protein [50] 1 1
219 3 30 50 100.0 25.0 0.945 2.531 5.516 0.184 2.59 3.663 0.05 qd_soft ~protein [50] 1 1
220 3 30 50 160.0 5.0 0.9 2.28 5.305 0.245 3.129 3.453 0.05 qd_soft ~protein [50] 1 1
221 3 30 50 160.0 15.0 0.936 2.487 5.502 0.188 2.703 5.545 0.05 qd_soft ~protein [50] 1 1
222 3 30 50 160.0 25.0 0.946 2.58 5.633 0.149 2.61 3.28 0.05 qd_soft ~protein [50] 1 1
223 3 30 50 200.0 5.0 0.906 2.263 5.253 0.26 2.946 3.407 0.05 qd_soft ~protein [50] 1 1
