EXP dataset split_seed seed n_epoch lr hidden_layers hidden_units dropout wd alpha mse_tr capture_tr width_tr mse_va capture_va width_va mse_te capture_te width_te
147 energy 1 10 5000 0.001 1 100 0.25 0.001 0.05 0.00858 0.96739 0.08635 0.01505 0.78417 0.08492 0.02281 0.77922 0.10102
148 energy 1 10 5000 0.001 1 100 0.25 0.01 0.05 0.0145 0.91123 0.13618 0.01417 0.91367 0.13563 0.01984 0.8961 0.14882
149 energy 1 10 5000 0.001 1 100 0.25 0.1 0.05 0.05887 0.94022 0.52555 0.0554 0.94245 0.52377 0.0721 0.88312 0.52797
150 energy 1 10 5000 0.001 1 100 0.25 1 0.05 0.13856 0.625 0.45908 0.11439 0.69784 0.45839 0.17325 0.63636 0.45931
151 energy 1 10 5000 0.001 1 100 0.5 0 0.05 0.00611 0.9837 0.06201 0.01382 0.82734 0.06203 0.03119 0.68831 0.06855
152 energy 1 10 5000 0.001 1 100 0.5 0.001 0.05 0.00858 0.96739 0.08635 0.01505 0.78417 0.08492 0.02281 0.77922 0.10102
153 energy 1 10 5000 0.001 1 100 0.5 0.01 0.05 0.0145 0.91123 0.13618 0.01417 0.91367 0.13563 0.01984 0.8961 0.14882
154 energy 1 10 5000 0.001 1 100 0.5 0.1 0.05 0.05887 0.94022 0.52555 0.0554 0.94245 0.52377 0.0721 0.88312 0.52797
155 energy 1 10 5000 0.001 1 100 0.5 1 0.05 0.13856 0.625 0.45908 0.11439 0.69784 0.45839 0.17325 0.63636 0.45931
156 energy 1 10 5000 0.001 1 100 0.75 0 0.05 0.00611 0.9837 0.06201 0.01382 0.82734 0.06203 0.03119 0.68831 0.06855
157 energy 1 10 5000 0.001 1 100 0.75 0.001 0.05 0.00858 0.96739 0.08635 0.01505 0.78417 0.08492 0.02281 0.77922 0.10102
158 energy 1 10 5000 0.001 1 100 0.75 0.01 0.05 0.0145 0.91123 0.13618 0.01417 0.91367 0.13563 0.01984 0.8961 0.14882
159 energy 1 10 5000 0.001 1 100 0.75 0.1 0.05 0.05887 0.94022 0.52555 0.0554 0.94245 0.52377 0.0721 0.88312 0.52797
160 energy 1 10 5000 0.001 1 100 0.75 1 0.05 0.13856 0.625 0.45908 0.11439 0.69784 0.45839 0.17325 0.63636 0.45931
161 energy 1 10 5000 0.0001 1 100 0.1 0 0.05 0.00818 0.91667 0.08329 0.01867 0.7554 0.08304 0.02259 0.72727 0.09992
162 energy 1 10 5000 0.0001 1 100 0.1 0.001 0.05 0.00899 0.98913 0.09254 0.01627 0.79137 0.09109 0.02078 0.76623 0.1077
163 energy 1 10 5000 0.0001 1 100 0.1 0.01 0.05 0.0139 0.94203 0.13748 0.01486 0.88489 0.13581 0.02063 0.88312 0.1513
164 energy 1 10 5000 0.0001 1 100 0.1 0.1 0.05 0.05939 0.92029 0.52017 0.05576 0.94245 0.51847 0.07378 0.87013 0.52255
165 energy 1 10 5000 0.0001 1 100 0.1 1 0.05 0.13839 0.63587 0.45903 0.11421 0.70504 0.45832 0.17364 0.64935 0.45924
166 energy 1 10 5000 0.0001 1 100 0.25 0 0.05 0.00818 0.91667 0.08329 0.01867 0.7554 0.08304 0.02259 0.72727 0.09992
167 energy 1 10 5000 0.0001 1 100 0.25 0.001 0.05 0.00899 0.98913 0.09254 0.01627 0.79137 0.09109 0.02078 0.76623 0.1077
168 energy 1 10 5000 0.0001 1 100 0.25 0.01 0.05 0.0139 0.94203 0.13748 0.01486 0.88489 0.13581 0.02063 0.88312 0.1513
169 energy 1 10 5000 0.0001 1 100 0.25 0.1 0.05 0.05939 0.92029 0.52017 0.05576 0.94245 0.51847 0.07378 0.87013 0.52255
170 energy 1 10 5000 0.0001 1 100 0.25 1 0.05 0.13839 0.63587 0.45903 0.11421 0.70504 0.45832 0.17364 0.64935 0.45924
171 energy 1 10 5000 0.0001 1 100 0.5 0 0.05 0.00818 0.91667 0.08329 0.01867 0.7554 0.08304 0.02259 0.72727 0.09992
172 energy 1 10 5000 0.0001 1 100 0.5 0.001 0.05 0.00899 0.98913 0.09254 0.01627 0.79137 0.09109 0.02078 0.76623 0.1077
173 energy 1 10 5000 0.0001 1 100 0.5 0.01 0.05 0.0139 0.94203 0.13748 0.01486 0.88489 0.13581 0.02063 0.88312 0.1513
174 energy 1 10 5000 0.0001 1 100 0.5 0.1 0.05 0.05939 0.92029 0.52017 0.05576 0.94245 0.51847 0.07378 0.87013 0.52255
175 energy 1 10 5000 0.0001 1 100 0.5 1 0.05 0.13839 0.63587 0.45903 0.11421 0.70504 0.45832 0.17364 0.64935 0.45924
176 energy 1 10 5000 0.0001 1 100 0.75 0 0.05 0.00818 0.91667 0.08329 0.01867 0.7554 0.08304 0.02259 0.72727 0.09992
177 energy 1 10 5000 0.0001 1 100 0.75 0.001 0.05 0.00899 0.98913 0.09254 0.01627 0.79137 0.09109 0.02078 0.76623 0.1077
