EXP dataset split_seed seed n_epoch lr hidden_layers hidden_units dropout wd alpha mse_tr capture_tr width_tr mse_va capture_va width_va mse_te capture_te width_te
623 kin8nm 2 10 5000 0.001 1 75 0.1 0.01 0.05 0.07434 0.94997 0.4845 0.07591 0.95119 0.48332 0.07511 0.95244 0.48425
804 kin8nm 2 20 5000 0.001 1 75 0.1 0.1 0.05 0.09915 0.9164 0.58097 0.09938 0.91661 0.58092 0.10045 0.92195 0.58223
239 kin8nm 1 20 5000 0.0001 1 50 0.75 0.1 0.05 0.09927 0.9186 0.57986 0.1023 0.90915 0.58222 0.10076 0.90976 0.58052
66 kin8nm 1 10 5000 0.01 1 75 0.25 0 0.05 0.03509 0.95421 0.2358 0.03931 0.93017 0.23251 0.0391 0.92439 0.23385
425 kin8nm 1 30 5000 0.01 1 75 0.1 1 0.05 0.24598 0.59471 0.32868 0.23743 0.61559 0.32871 0.2434 0.59634 0.32885
624 kin8nm 2 10 5000 0.001 1 75 0.1 0.1 0.05 0.09867 0.91979 0.58351 0.09912 0.91593 0.58344 0.09985 0.92317 0.58477
240 kin8nm 1 20 5000 0.0001 1 50 0.75 1 0.05 0.24037 0.6098 0.33118 0.25765 0.58441 0.33144 0.24299 0.6061 0.33116
805 kin8nm 2 20 5000 0.001 1 75 0.1 1 0.05 0.23849 0.61319 0.3352 0.2363 0.60203 0.33522 0.24494 0.60122 0.33531
67 kin8nm 1 10 5000 0.01 1 75 0.25 0.001 0.05 0.05215 0.96184 0.34316 0.05254 0.96407 0.34267 0.05284 0.9561 0.34613
426 kin8nm 1 30 5000 0.01 1 75 0.25 0 0.05 0.03381 0.97388 0.23836 0.04004 0.95322 0.24111 0.03712 0.9378 0.23874
625 kin8nm 2 10 5000 0.001 1 75 0.1 1 0.05 0.23705 0.61082 0.33603 0.23631 0.61966 0.33607 0.24434 0.6061 0.33607
241 kin8nm 1 20 5000 0.01 1 75 0.1 0 0.05 0.0372 0.91538 0.21152 0.04441 0.87932 0.20838 0.04552 0.88171 0.21224
806 kin8nm 2 20 5000 0.001 1 75 0.25 0 0.05 0.02649 0.98033 0.19205 0.03885 0.89627 0.19678 0.03994 0.88902 0.19802
68 kin8nm 1 10 5000 0.01 1 75 0.25 0.01 0.05 0.08082 0.97219 0.56345 0.08004 0.97424 0.56584 0.08192 0.97317 0.56297
626 kin8nm 2 10 5000 0.001 1 75 0.25 0 0.05 0.0253 0.95947 0.17845 0.03994 0.87797 0.17764 0.04207 0.86707 0.1818
427 kin8nm 1 30 5000 0.01 1 75 0.25 0.001 0.05 0.05006 0.96676 0.33528 0.05121 0.96407 0.33693 0.05199 0.95122 0.33709
242 kin8nm 1 20 5000 0.01 1 75 0.1 0.001 0.05 0.05596 0.98677 0.39855 0.05785 0.97627 0.39493 0.05526 0.98537 0.39837
807 kin8nm 2 20 5000 0.001 1 75 0.25 0.001 0.05 0.03832 0.97168 0.26635 0.04277 0.95593 0.2724 0.04152 0.9439 0.26948
