EXP dataset split_seed seed n_epoch lr hidden_layers hidden_units dropout wd alpha mse_tr capture_tr width_tr mse_va capture_va width_va mse_te capture_te width_te
102 concrete 1 10 5000 0.0001 1 75 0.1 0.001 0.05 0.02781 0.95007 0.22697 0.04153 0.86022 0.22108 0.04691 0.87379 0.24479
103 concrete 1 10 5000 0.0001 1 75 0.1 0.01 0.05 0.0482 0.95816 0.37607 0.0498 0.96774 0.36902 0.04964 0.95146 0.39262
104 concrete 1 10 5000 0.0001 1 75 0.1 0.1 0.05 0.08834 0.92443 0.63062 0.08012 0.94624 0.6275 0.07856 0.95146 0.63216
105 concrete 1 10 5000 0.0001 1 75 0.1 1 0.05 0.22148 0.61538 0.39982 0.16359 0.72581 0.39958 0.16936 0.68932 0.39959
106 concrete 1 10 5000 0.0001 1 75 0.25 0 0.05 0.02405 0.94737 0.20539 0.03763 0.83871 0.20125 0.05402 0.79612 0.22698
107 concrete 1 10 5000 0.0001 1 75 0.25 0.001 0.05 0.02781 0.95007 0.22697 0.04153 0.86022 0.22108 0.04691 0.87379 0.24479
108 concrete 1 10 5000 0.0001 1 75 0.25 0.01 0.05 0.0482 0.95816 0.37607 0.0498 0.96774 0.36902 0.04964 0.95146 0.39262
109 concrete 1 10 5000 0.0001 1 75 0.25 0.1 0.05 0.08834 0.92443 0.63062 0.08012 0.94624 0.6275 0.07856 0.95146 0.63216
110 concrete 1 10 5000 0.0001 1 75 0.25 1 0.05 0.22148 0.61538 0.39982 0.16359 0.72581 0.39958 0.16936 0.68932 0.39959
111 concrete 1 10 5000 0.0001 1 75 0.5 0 0.05 0.02405 0.94737 0.20539 0.03763 0.83871 0.20125 0.05402 0.79612 0.22698
112 concrete 1 10 5000 0.0001 1 75 0.5 0.001 0.05 0.02781 0.95007 0.22697 0.04153 0.86022 0.22108 0.04691 0.87379 0.24479
113 concrete 1 10 5000 0.0001 1 75 0.5 0.01 0.05 0.0482 0.95816 0.37607 0.0498 0.96774 0.36902 0.04964 0.95146 0.39262
114 concrete 1 10 5000 0.0001 1 75 0.5 0.1 0.05 0.08834 0.92443 0.63062 0.08012 0.94624 0.6275 0.07856 0.95146 0.63216
115 concrete 1 10 5000 0.0001 1 75 0.5 1 0.05 0.22148 0.61538 0.39982 0.16359 0.72581 0.39958 0.16936 0.68932 0.39959
116 concrete 1 10 5000 0.0001 1 75 0.75 0 0.05 0.02405 0.94737 0.20539 0.03763 0.83871 0.20125 0.05402 0.79612 0.22698
117 concrete 1 10 5000 0.0001 1 75 0.75 0.001 0.05 0.02781 0.95007 0.22697 0.04153 0.86022 0.22108 0.04691 0.87379 0.24479
118 concrete 1 10 5000 0.0001 1 75 0.75 0.01 0.05 0.0482 0.95816 0.37607 0.0498 0.96774 0.36902 0.04964 0.95146 0.39262
119 concrete 1 10 5000 0.0001 1 75 0.75 0.1 0.05 0.08834 0.92443 0.63062 0.08012 0.94624 0.6275 0.07856 0.95146 0.63216
120 concrete 1 10 5000 0.0001 1 75 0.75 1 0.05 0.22148 0.61538 0.39982 0.16359 0.72581 0.39958 0.16936 0.68932 0.39959
121 concrete 1 10 5000 0.01 1 100 0.1 0 0.05 0.01962 0.94332 0.15103 0.03372 0.84409 0.15169 0.05335 0.82524 0.16483
122 concrete 1 10 5000 0.01 1 100 0.1 0.001 0.05 0.03571 0.95007 0.26115 0.03881 0.93548 0.25634 0.04173 0.90291 0.27407
123 concrete 1 10 5000 0.01 1 100 0.1 0.01 0.05 0.04964 0.94737 0.37486 0.05075 0.96237 0.36614 0.04761 0.96117 0.39435
124 concrete 1 10 5000 0.01 1 100 0.1 0.1 0.05 0.08993 0.91768 0.62069 0.08115 0.94624 0.61814 0.07928 0.94175 0.62185
125 concrete 1 10 5000 0.01 1 100 0.1 1 0.05 0.22216 0.61404 0.39944 0.16407 0.72581 0.3993 0.16783 0.68932 0.39914
126 concrete 1 10 5000 0.01 1 100 0.25 0 0.05 0.01962 0.94332 0.15103 0.03372 0.84409 0.15169 0.05335 0.82524 0.16483
127 concrete 1 10 5000 0.01 1 100 0.25 0.001 0.05 0.03571 0.95007 0.26115 0.03881 0.93548 0.25634 0.04173 0.90291 0.27407
128 concrete 1 10 5000 0.01 1 100 0.25 0.01 0.05 0.04964 0.94737 0.37486 0.05075 0.96237 0.36614 0.04761 0.96117 0.39435
129 concrete 1 10 5000 0.01 1 100 0.25 0.1 0.05 0.08993 0.91768 0.62069 0.08115 0.94624 0.61814 0.07928 0.94175 0.62185
130 concrete 1 10 5000 0.01 1 100 0.25 1 0.05 0.22216 0.61404 0.39944 0.16407 0.72581 0.3993 0.16783 0.68932 0.39914
131 concrete 1 10 5000 0.01 1 100 0.5 0 0.05 0.01962 0.94332 0.15103 0.03372 0.84409 0.15169 0.05335 0.82524 0.16483
132 concrete 1 10 5000 0.01 1 100 0.5 0.001 0.05 0.03571 0.95007 0.26115 0.03881 0.93548 0.25634 0.04173 0.90291 0.27407
133 concrete 1 10 5000 0.01 1 100 0.5 0.01 0.05 0.04964 0.94737 0.37486 0.05075 0.96237 0.36614 0.04761 0.96117 0.39435
134 concrete 1 10 5000 0.01 1 100 0.5 0.1 0.05 0.08993 0.91768 0.62069 0.08115 0.94624 0.61814 0.07928 0.94175 0.62185
135 concrete 1 10 5000 0.01 1 100 0.5 1 0.05 0.22216 0.61404 0.39944 0.16407 0.72581 0.3993 0.16783 0.68932 0.39914
136 concrete 1 10 5000 0.01 1 100 0.75 0 0.05 0.01962 0.94332 0.15103 0.03372 0.84409 0.15169 0.05335 0.82524 0.16483
137 concrete 1 10 5000 0.01 1 100 0.75 0.001 0.05 0.03571 0.95007 0.26115 0.03881 0.93548 0.25634 0.04173 0.90291 0.27407
138 concrete 1 10 5000 0.01 1 100 0.75 0.01 0.05 0.04964 0.94737 0.37486 0.05075 0.96237 0.36614 0.04761 0.96117 0.39435
139 concrete 1 10 5000 0.01 1 100 0.75 0.1 0.05 0.08993 0.91768 0.62069 0.08115 0.94624 0.61814 0.07928 0.94175 0.62185
140 concrete 1 10 5000 0.01 1 100 0.75 1 0.05 0.22216 0.61404 0.39944 0.16407 0.72581 0.3993 0.16783 0.68932 0.39914
141 concrete 1 10 5000 0.001 1 100 0.1 0 0.05 0.01451 0.99595 0.12459 0.0497 0.77957 0.13138 0.07408 0.72816 0.13523
142 concrete 1 10 5000 0.001 1 100 0.1 0.001 0.05 0.02243 0.95142 0.18598 0.03894 0.86022 0.18034 0.05369 0.84466 0.2089
143 concrete 1 10 5000 0.001 1 100 0.1 0.01 0.05 0.04652 0.95682 0.36044 0.04807 0.96237 0.35282 0.04876 0.94175 0.38072
144 concrete 1 10 5000 0.001 1 100 0.1 0.1 0.05 0.08856 0.92173 0.62959 0.08026 0.94624 0.62652 0.07874 0.95146 0.63087
145 concrete 1 10 5000 0.001 1 100 0.1 1 0.05 0.21598 0.61943 0.40672 0.15994 0.72581 0.4064 0.16313 0.68932 0.4067
146 concrete 1 10 5000 0.001 1 100 0.25 0 0.05 0.01451 0.99595 0.12459 0.0497 0.77957 0.13138 0.07408 0.72816 0.13523
147 concrete 1 10 5000 0.001 1 100 0.25 0.001 0.05 0.02243 0.95142 0.18598 0.03894 0.86022 0.18034 0.05369 0.84466 0.2089
148 concrete 1 10 5000 0.001 1 100 0.25 0.01 0.05 0.04652 0.95682 0.36044 0.04807 0.96237 0.35282 0.04876 0.94175 0.38072
149 concrete 1 10 5000 0.001 1 100 0.25 0.1 0.05 0.08856 0.92173 0.62959 0.08026 0.94624 0.62652 0.07874 0.95146 0.63087
150 concrete 1 10 5000 0.001 1 100 0.25 1 0.05 0.21598 0.61943 0.40672 0.15994 0.72581 0.4064 0.16313 0.68932 0.4067
151 concrete 1 10 5000 0.001 1 100 0.5 0 0.05 0.01451 0.99595 0.12459 0.0497 0.77957 0.13138 0.07408 0.72816 0.13523
152 concrete 1 10 5000 0.001 1 100 0.5 0.001 0.05 0.02243 0.95142 0.18598 0.03894 0.86022 0.18034 0.05369 0.84466 0.2089
153 concrete 1 10 5000 0.001 1 100 0.5 0.01 0.05 0.04652 0.95682 0.36044 0.04807 0.96237 0.35282 0.04876 0.94175 0.38072
154 concrete 1 10 5000 0.001 1 100 0.5 0.1 0.05 0.08856 0.92173 0.62959 0.08026 0.94624 0.62652 0.07874 0.95146 0.63087
155 concrete 1 10 5000 0.001 1 100 0.5 1 0.05 0.21598 0.61943 0.40672 0.15994 0.72581 0.4064 0.16313 0.68932 0.4067
156 concrete 1 10 5000 0.001 1 100 0.75 0 0.05 0.01451 0.99595 0.12459 0.0497 0.77957 0.13138 0.07408 0.72816 0.13523
157 concrete 1 10 5000 0.001 1 100 0.75 0.001 0.05 0.02243 0.95142 0.18598 0.03894 0.86022 0.18034 0.05369 0.84466 0.2089
158 concrete 1 10 5000 0.001 1 100 0.75 0.01 0.05 0.04652 0.95682 0.36044 0.04807 0.96237 0.35282 0.04876 0.94175 0.38072
159 concrete 1 10 5000 0.001 1 100 0.75 0.1 0.05 0.08856 0.92173 0.62959 0.08026 0.94624 0.62652 0.07874 0.95146 0.63087
160 concrete 1 10 5000 0.001 1 100 0.75 1 0.05 0.21598 0.61943 0.40672 0.15994 0.72581 0.4064 0.16313 0.68932 0.4067
161 concrete 1 10 5000 0.0001 1 100 0.1 0 0.05 0.02151 0.92578 0.18183 0.04365 0.82796 0.17838 0.06105 0.80583 0.20159
162 concrete 1 10 5000 0.0001 1 100 0.1 0.001 0.05 0.02519 0.96356 0.20939 0.03904 0.88172 0.20559 0.05027 0.8835 0.22907
