EXP split_seed random_seed neurons soft lambda_in sigma_in PICP_test MPIW_test RMSE alpha h_size epochs lr decay_rate ensemb n_runs
186 3 10 [100] 160.0 15.0 0.4 0.835 0.734 5.354 0.05 [100] 800 0.03 0.98 1 1
187 3 10 [100] 160.0 20.0 0.05 0.845 0.796 5.723 0.05 [100] 800 0.03 0.98 1 1
188 3 10 [100] 160.0 20.0 0.2 0.845 0.747 5.624 0.05 [100] 800 0.03 0.98 1 1
189 3 10 [100] 160.0 20.0 0.4 0.796 0.716 5.309 0.05 [100] 800 0.03 0.98 1 1
190 3 20 [50] 160.0 5.0 0.05 0.796 0.701 5.271 0.05 [50] 800 0.03 0.98 1 1
191 3 20 [50] 160.0 5.0 0.2 0.796 0.662 5.68 0.05 [50] 800 0.03 0.98 1 1
192 3 20 [50] 160.0 5.0 0.4 0.748 0.588 5.408 0.05 [50] 800 0.03 0.98 1 1
193 3 20 [50] 160.0 15.0 0.05 0.854 0.845 5.703 0.05 [50] 800 0.03 0.98 1 1
194 3 20 [50] 160.0 15.0 0.2 0.825 0.809 5.7 0.05 [50] 800 0.03 0.98 1 1
195 3 20 [50] 160.0 15.0 0.4 0.825 0.753 5.497 0.05 [50] 800 0.03 0.98 1 1
196 3 20 [50] 160.0 20.0 0.05 0.835 0.775 5.347 0.05 [50] 800 0.03 0.98 1 1
197 3 20 [50] 160.0 20.0 0.2 0.874 0.856 5.829 0.05 [50] 800 0.03 0.98 1 1
198 3 20 [50] 160.0 20.0 0.4 0.845 0.759 5.622 0.05 [50] 800 0.03 0.98 1 1
199 3 20 [75] 160.0 5.0 0.05 0.748 0.658 5.744 0.05 [75] 800 0.03 0.98 1 1
200 3 20 [75] 160.0 5.0 0.2 0.854 0.696 5.275 0.05 [75] 800 0.03 0.98 1 1
201 3 20 [75] 160.0 5.0 0.4 0.777 0.593 4.867 0.05 [75] 800 0.03 0.98 1 1
202 3 20 [75] 160.0 15.0 0.05 0.864 0.864 5.835 0.05 [75] 800 0.03 0.98 1 1
203 3 20 [75] 160.0 15.0 0.2 0.816 0.82 5.919 0.05 [75] 800 0.03 0.98 1 1
204 3 20 [75] 160.0 15.0 0.4 0.835 0.731 5.399 0.05 [75] 800 0.03 0.98 1 1
205 3 20 [75] 160.0 20.0 0.05 0.777 0.796 5.733 0.05 [75] 800 0.03 0.98 1 1
206 3 20 [75] 160.0 20.0 0.2 0.864 0.881 5.251 0.05 [75] 800 0.03 0.98 1 1
207 3 20 [75] 160.0 20.0 0.4 0.816 0.703 5.802 0.05 [75] 800 0.03 0.98 1 1
208 3 20 [100] 160.0 5.0 0.05 0.786 0.669 5.464 0.05 [100] 800 0.03 0.98 1 1
209 3 20 [100] 160.0 5.0 0.2 0.757 0.595 5.538 0.05 [100] 800 0.03 0.98 1 1
210 3 20 [100] 160.0 5.0 0.4 0.68 0.531 5.22 0.05 [100] 800 0.03 0.98 1 1
