EXP split_seed random_seed neurons soft lambda_in sigma_in PICP_test MPIW_test RMSE alpha h_size epochs lr decay_rate ensemb n_runs
178 3 10 [75] 160.0 20.0 0.05 0.857 0.51 2.551 0.05 [75] 1200 0.016 0.97 1 1
179 3 10 [75] 160.0 20.0 0.2 0.87 0.541 2.629 0.05 [75] 1200 0.016 0.97 1 1
180 3 10 [75] 160.0 20.0 0.4 0.753 0.437 2.279 0.05 [75] 1200 0.016 0.97 1 1
181 3 10 [100] 160.0 5.0 0.05 0.87 0.438 2.596 0.05 [100] 1200 0.016 0.97 1 1
182 3 10 [100] 160.0 5.0 0.2 0.857 0.409 2.139 0.05 [100] 1200 0.016 0.97 1 1
183 3 10 [100] 160.0 5.0 0.4 0.688 0.366 2.134 0.05 [100] 1200 0.016 0.97 1 1
184 3 10 [100] 160.0 15.0 0.05 0.909 0.482 2.622 0.05 [100] 1200 0.016 0.97 1 1
185 3 10 [100] 160.0 15.0 0.2 0.857 0.465 2.541 0.05 [100] 1200 0.016 0.97 1 1
186 3 10 [100] 160.0 15.0 0.4 0.779 0.519 2.466 0.05 [100] 1200 0.016 0.97 1 1
187 3 10 [100] 160.0 20.0 0.05 0.909 0.525 2.66 0.05 [100] 1200 0.016 0.97 1 1
188 3 10 [100] 160.0 20.0 0.2 0.935 0.499 2.396 0.05 [100] 1200 0.016 0.97 1 1
189 3 10 [100] 160.0 20.0 0.4 0.766 0.527 2.558 0.05 [100] 1200 0.016 0.97 1 1
190 3 20 [50] 160.0 5.0 0.05 0.857 0.465 2.436 0.05 [50] 1200 0.016 0.97 1 1
191 3 20 [50] 160.0 5.0 0.2 0.883 0.449 2.508 0.05 [50] 1200 0.016 0.97 1 1
192 3 20 [50] 160.0 5.0 0.4 0.87 0.425 2.042 0.05 [50] 1200 0.016 0.97 1 1
193 3 20 [50] 160.0 15.0 0.05 0.87 0.545 2.627 0.05 [50] 1200 0.016 0.97 1 1
194 3 20 [50] 160.0 15.0 0.2 0.909 0.498 2.506 0.05 [50] 1200 0.016 0.97 1 1
195 3 20 [50] 160.0 15.0 0.4 0.792 0.493 2.755 0.05 [50] 1200 0.016 0.97 1 1
196 3 20 [50] 160.0 20.0 0.05 0.87 0.555 2.643 0.05 [50] 1200 0.016 0.97 1 1
197 3 20 [50] 160.0 20.0 0.2 0.844 0.507 2.529 0.05 [50] 1200 0.016 0.97 1 1
198 3 20 [50] 160.0 20.0 0.4 0.87 0.529 2.719 0.05 [50] 1200 0.016 0.97 1 1
199 3 20 [75] 160.0 5.0 0.05 0.857 0.427 2.27 0.05 [75] 1200 0.016 0.97 1 1
200 3 20 [75] 160.0 5.0 0.2 0.844 0.382 2.459 0.05 [75] 1200 0.016 0.97 1 1
201 3 20 [75] 160.0 5.0 0.4 0.662 0.344 2.081 0.05 [75] 1200 0.016 0.97 1 1
202 3 20 [75] 160.0 15.0 0.05 0.857 0.513 2.535 0.05 [75] 1200 0.016 0.97 1 1
203 3 20 [75] 160.0 15.0 0.2 0.831 0.482 2.822 0.05 [75] 1200 0.016 0.97 1 1
204 3 20 [75] 160.0 15.0 0.4 0.74 0.478 2.519 0.05 [75] 1200 0.016 0.97 1 1
205 3 20 [75] 160.0 20.0 0.05 0.857 0.534 2.59 0.05 [75] 1200 0.016 0.97 1 1
206 3 20 [75] 160.0 20.0 0.2 0.909 0.53 2.537 0.05 [75] 1200 0.016 0.97 1 1
207 3 20 [75] 160.0 20.0 0.4 0.792 0.478 2.37 0.05 [75] 1200 0.016 0.97 1 1
208 3 20 [100] 160.0 5.0 0.05 0.792 0.426 2.458 0.05 [100] 1200 0.016 0.97 1 1
209 3 20 [100] 160.0 5.0 0.2 0.857 0.361 2.23 0.05 [100] 1200 0.016 0.97 1 1
210 3 20 [100] 160.0 5.0 0.4 0.727 0.339 2.024 0.05 [100] 1200 0.016 0.97 1 1
211 3 20 [100] 160.0 15.0 0.05 0.805 0.534 2.639 0.05 [100] 1200 0.016 0.97 1 1
212 3 20 [100] 160.0 15.0 0.2 0.857 0.477 2.522 0.05 [100] 1200 0.016 0.97 1 1
213 3 20 [100] 160.0 15.0 0.4 0.779 0.424 2.309 0.05 [100] 1200 0.016 0.97 1 1
214 3 20 [100] 160.0 20.0 0.05 0.857 0.498 2.614 0.05 [100] 1200 0.016 0.97 1 1
215 3 20 [100] 160.0 20.0 0.2 0.844 0.481 2.468 0.05 [100] 1200 0.016 0.97 1 1
216 3 20 [100] 160.0 20.0 0.4 0.753 0.425 2.255 0.05 [100] 1200 0.016 0.97 1 1
217 3 30 [50] 160.0 5.0 0.05 0.896 0.491 2.648 0.05 [50] 1200 0.016 0.97 1 1
218 3 30 [50] 160.0 5.0 0.2 0.909 0.444 2.584 0.05 [50] 1200 0.016 0.97 1 1
219 3 30 [50] 160.0 5.0 0.4 0.831 0.411 2.067 0.05 [50] 1200 0.016 0.97 1 1
220 3 30 [50] 160.0 15.0 0.05 0.883 0.546 2.63 0.05 [50] 1200 0.016 0.97 1 1
221 3 30 [50] 160.0 15.0 0.2 0.857 0.538 2.622 0.05 [50] 1200 0.016 0.97 1 1
222 3 30 [50] 160.0 15.0 0.4 0.909 0.534 2.587 0.05 [50] 1200 0.016 0.97 1 1
